(abgedroschene) Phrase {f}	buzzword [stock phrase]	noun	
(abgeschlossener) Kleinraum {m}	cubicle	noun	
(abnorm) überstreckbares Knie {n} [das einen nach vorn offenen Winkel bildet] [Genu recurvatum]	knee hyperextension [Genu recurvatum]	noun	[med.] 
(abnorme) Menschenscheu {f}	anthropophobia	noun	[psych.] 
(absichtliche) Radarstörung {f}	radar jamming	noun	[aviat.] [naut.] 
(absichtlicher) Kopfstoß {m} [Boxen]	(intentional) head butt	noun	[sports] 
(absolut) sicher sein, dass ... [überzeugt sein]	to be positive that ...	verb	
(absolut) unerklärlich sein	to defy (any) explanation	verb	
(absolute) Hellempfindlichkeit {f} [für photopisches bzw. skotopisches Sehen der Wellenlänge]	luminous efficacy <K>	noun	[phys.] 
(Abstehender) Salzschwingel {m}	European alkali grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	northern saltmarsh grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	reflexed meadow grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	reflexed salt grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	reflexed saltmarsh-grass / saltmarsh grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	slender alkali grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	spreading alkaligrass / alkali-grass / alkali grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	sweet grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Abstehender) Salzschwingel {m}	weeping alkaligrass / alkali-grass / alkali grass [Puccinellia distans, syn.: P. capillaris, P. limosa, P sevamgensis, Atropis distans, Glyceria distans, Poa distans]	noun	[bot.] 
(Ace) Kunstharz {n}	ace resin	noun	[chem.] 
(Acetylen-Sauerstoff-) Schweißbrenner {m}	oxy-acetylene (welding) torch [spv.]	noun	[tech.] 
(Acetylen-Sauerstoff-) Schweißbrenner {m}	oxyacetylene (welding) torch	noun	[tech.] 
